Title,Year,RunTime,Censor,UserRatings,Votes

The Shawshank Redemption,1994,2h 22m,A,9.3,2.9M

The Godfather,1972,2h 55m,A,9.2,2M

The Dark Knight,2008,2h 32m,UA,9.0,2.9M

The Godfather: Part II,1974,3h 22m,A,9.0,1.4M

12 Angry Men,1957,1h 36m,U,9.0,873K

Schindler's List,1993,3h 15m,A,9.0,1.5M

The Lord of the Rings: The Return of the King,2003,3h 21m,U,9.0,2M

Pulp Fiction,1994,2h 34m,A,8.9,2.2M

The Lord of the Rings: The Fellowship of the Ring,2001,2h 58m,U,8.9,2M

Il Buono, Il Brutto, Il Cattivo,1966,2h 41m,A,8.8,817K

Forrest Gump,1994,2h 22m,UA,8.8,2.3M

The Lord of the Rings: The Two Towers,2002,2h 59m,UA,8.8,1.8M

Fight Club,1999,2h 19m,A,8.8,2.3M

Inception,2010,2h 28m,UA,8.8,2.6M

Star Wars: Episode V - The Empire Strikes Back,1980,2h 4m,UA,8.7,1.4M

The Matrix,1999,2h 16m,A,8.7,2.1M

GoodFellas,1990,2h 25m,A,8.7,1.3M

One Flew Over the Cuckoo's Nest,1975,2h 13m,A,8.7,1.1M

Se7en,1995,2h 7m,A,8.6,1.8M

Interstellar,2014,2h 49m,UA,8.7,2.1M

It's a Wonderful Life,1946,2h 10m,PG,8.6,502K

Shichinin No Samurai,1954,3h 27m,U,8.6,369K

The Silence of the Lambs,1991,1h 58m,A,8.6,1.6M

Saving Private Ryan,1998,2h 49m,A,8.6,1.5M

City of God,2002,2h 10m,A,8.6,806K

